directory,file_name,variable_name,variable_type,description
data/,summer_survey.rda,id,double,
data/,summer_survey.rda,today,double,
data/,summer_survey.rda,Interviewer,character,
data/,summer_survey.rda,locat,character,
data/,summer_survey.rda,burners,character,
data/,summer_survey.rda,gen_interviwee,character,
data/,summer_survey.rda,position,character,
data/,summer_survey.rda,ownership,character,
data/,summer_survey.rda,managing_waste,character,
data/,summer_survey.rda,edu_level,character,
data/,summer_survey.rda,ethinicity,character,
data/,summer_survey.rda,religion,character,
data/,summer_survey.rda,married,character,
data/,summer_survey.rda,occupation,character,
data/,summer_survey.rda,income,double,
data/,summer_survey.rda,males_no,double,
data/,summer_survey.rda,females_no,double,
data/,summer_survey.rda,waste_generation,double,
data/,summer_survey.rda,waste_cat,list,
data/,summer_survey.rda,sort_org_inorg,character,
data/,summer_survey.rda,remaining_mixed_002,list,
data/,summer_survey.rda,container,character,
data/,summer_survey.rda,skips_often_why,list,
data/,summer_survey.rda,Kerb,character,
data/,summer_survey.rda,agreement,character,
data/,summer_survey.rda,burn_often_001,character,
data/,summer_survey.rda,burn_time_001,character,
data/,summer_survey.rda,burn_week_001,character,
data/,summer_survey.rda,c1,list,
data/,summer_survey.rda,remaining_mixed,list,
data/,summer_survey.rda,burn_often,character,
data/,summer_survey.rda,burn_time,character,
data/,summer_survey.rda,burn_week,character,
data/,summer_survey.rda,remaining_mixed_001,list,
data/,summer_survey.rda,e1,list,
data/,summer_survey.rda,col,character,
data/,summer_survey.rda,kerb_sometimes_why,character,
data/,summer_survey.rda,d1,list,
data/,summer_survey.rda,worker_fee,double,
data/,summer_survey.rda,pay_mode,character,
data/,summer_survey.rda,empty_pay_cost,character,
data/,summer_survey.rda,g1,list,
data/,summer_survey.rda,w1,list,
data/,summer_survey.rda,distance,character,
data/,summer_survey.rda,skips_often,character,
data/,summer_survey.rda,ccc,list,
data/,summer_survey.rda,settlement_type,character,
data/,summer_survey.rda,season,character,
data/,winter_survey.rda,id,double,
data/,winter_survey.rda,today,double,
data/,winter_survey.rda,burn_time,character,
data/,winter_survey.rda,cooking_specify,character,
data/,winter_survey.rda,interviewer,character,
data/,winter_survey.rda,locat,character,
data/,winter_survey.rda,gender,character,
data/,winter_survey.rda,wmanagement,character,
data/,winter_survey.rda,price,double,
data/,winter_survey.rda,price_per,character,
data/,winter_survey.rda,religion,character,
data/,winter_survey.rda,occupation,character,
data/,winter_survey.rda,income,double,
data/,winter_survey.rda,females,double,
data/,winter_survey.rda,daily_waste,double,
data/,winter_survey.rda,wastecat,character,
data/,winter_survey.rda,disposal,list,
data/,winter_survey.rda,burn_often,character,
data/,winter_survey.rda,why_burn,list,
data/,winter_survey.rda,cooking,character,
data/,winter_survey.rda,cook_place,character,
data/,winter_survey.rda,times_cook,character,
data/,winter_survey.rda,vehicles,character,
data/,winter_survey.rda,ti,character,
data/,winter_survey.rda,timee,character,
data/,winter_survey.rda,waste,character,
data/,winter_survey.rda,males,double,
data/,winter_survey.rda,settlement_type,character,
data/,winter_survey.rda,burners,character,
data/,winter_survey.rda,season,character,
data/,summer_characterisation.rda,id,double,
data/,summer_characterisation.rda,settlement_name,character,
data/,summer_characterisation.rda,date_collect,double,
data/,summer_characterisation.rda,characterisation_date,double,
data/,summer_characterisation.rda,enumerator,character,
data/,summer_characterisation.rda,kitchen_scale_number,double,
data/,summer_characterisation.rda,type_of_settlement,character,
data/,summer_characterisation.rda,transparent_bag,double,
data/,summer_characterisation.rda,wood_leaves,double,
data/,summer_characterisation.rda,cardboard_paper,double,
data/,summer_characterisation.rda,plastic_bottles,double,
data/,summer_characterisation.rda,plastic_bags,character,
data/,summer_characterisation.rda,other_plastics,double,
data/,summer_characterisation.rda,clothes_textiles,double,
data/,summer_characterisation.rda,rubber,double,
data/,summer_characterisation.rda,others,double,
data/,summer_characterisation.rda,season,character,
data/,winter_characterisation.rda,date_collect,double,
data/,winter_characterisation.rda,characterisation_date,double,
data/,winter_characterisation.rda,kitchen_scale_number,double,
data/,winter_characterisation.rda,settlement_name,character,
data/,winter_characterisation.rda,id,double,
data/,winter_characterisation.rda,transparent_bag,double,
data/,winter_characterisation.rda,wood_leaves,double,
data/,winter_characterisation.rda,cardboard_paper,double,
data/,winter_characterisation.rda,plastic_bottles,double,
data/,winter_characterisation.rda,plastic_bags,double,
data/,winter_characterisation.rda,other_plastics,double,
data/,winter_characterisation.rda,clothes_textiles,double,
data/,winter_characterisation.rda,rubber,double,
data/,winter_characterisation.rda,others,double,
data/,winter_characterisation.rda,_id,double,
data/,winter_characterisation.rda,_uuid,character,
data/,winter_characterisation.rda,_submission_time,character,
data/,winter_characterisation.rda,_validation_status,logical,
data/,winter_characterisation.rda,_notes,logical,
data/,winter_characterisation.rda,_status,character,
data/,winter_characterisation.rda,_submitted_by,character,
data/,winter_characterisation.rda,__version__,character,
data/,winter_characterisation.rda,_tags,logical,
data/,winter_characterisation.rda,_index,double,
data/,winter_characterisation.rda,season,character,
